"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"184",84,8,0.25,0.2,0.2,45,13208,0.799903100775194,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",85,8,0.25,0.2,0.2,42,13203,0.799600290697674,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",86,8,0.25,0.2,0.2,41,13214,0.800266472868217,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",87,8,0.25,0.2,0.2,44,13208,0.799903100775194,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",88,8,0.25,0.2,0.2,39,13284,0.804505813953488,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",89,8,0.25,0.2,0.2,48,13155,0.796693313953488,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",90,8,0.25,0.2,0.2,54,13259,0.802991763565892,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",91,8,0.25,0.2,0.2,48,13286,0.804626937984496,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",92,8,0.25,0.2,0.2,40,13208,0.799903100775194,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",93,8,0.25,0.2,0.2,43,13192,0.798934108527132,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",94,8,0.25,0.2,0.2,43,13211,0.800084786821705,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",95,8,0.25,0.2,0.2,48,13094,0.792999031007752,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",96,8,0.25,0.2,0.2,48,13227,0.801053779069767,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",97,8,0.25,0.2,0.2,44,13132,0.795300387596899,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",98,8,0.25,0.2,0.2,41,13193,0.798994670542636,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",99,8,0.25,0.2,0.2,50,13314,0.806322674418605,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",100,8,0.25,0.2,0.2,54,13155,0.796693313953488,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
